Samples,PU_1,PU_3,SU_2,PU_2,SU_1,SU_3,CU_2,CU_3,CU_1
Group,PU,PU,SU,PU,SU,SU,CU,CU,CU
Shikimic acid,37103.75,32987,7821.34,34868.594,7847.6523,7567.426,4769.2305,4576.336,5364.047
Citric acid,159119.5,157665.75,131873.75,161584.5,134148.25,133535.62,161800.12,166857.12,168979.62
E-Piceatannol,1079.8408,1197.751,220678.12,1289.125,226675.5,226051.5,90380.875,91598.125,98853.19
Epicatechin,27203.797,27380.922,1136956,28815.438,1215375,1234404,6831.6016,5754.9336,6949.996
Catechin,20440.547,22019.172,466642.5,22275.547,493274.25,481252,12867.836,12945.156,14009.234
FA 18:1+3O,61133.438,59251.78,267110,60002.188,278571,272373.5,222547.88,222199.62,239626
Chlorogenic Acid,8926.383,8649.734,26810.016,8972.945,27466.39,26658.906,60700.406,57249.78,56771.594
Procyanidin B1,21403.64,21556.297,238348.5,21693.812,231397.5,240933,3216.5469,3698.1738,4293.379
Procyanidin B2,19492.656,19003.828,1141183,19200.734,1193506,1221026,3376.838,2824.6094,3419.7559
