Samples,PU_1,PU_3,SU_2,PU_2,SU_1,SU_3,CU_2,CU_3,CU_1
Group,PU,PU,SU,PU,SU,SU,CU,CU,CU
99.96713556,7454.9297,7286.7812,7552.617,6247.051,6824.543,6878.3047,14828.242,15417.594,15400.469
100.0266895,1611.9766,1028.6973,1703.252,671,1431.7432,1592.4814,9425.773,10257.422,10598.516
100.0267403,1199.9873,1658.2812,1997.1025,1499,1861.7881,2775.8281,8976.875,9297.547,10215.586
100.0267598,1483.9824,1367.2461,2971.4043,1999.5098,2855.959,2471.4355,2489.666,2861.125,2008.293
100.9289314,36547.97,40445.438,46896.906,41372.625,45910.062,48416.594,75780.19,74160,78355.625
100.929113,47144.594,40450.53,48128.312,35434.406,44484.97,48256.53,106425.625,110371.75,109729.19
101.0230715,4193.6094,4067.959,656.0508,4263.0156,971.58887,719.0498,4476.301,4156.996,4649.129
101.0231094,4575.3984,5402.9023,859,5223.6523,986,905,4645.09,4400.1445,4674.9062
101.0231178,5606.9023,6052.9297,2651.6797,5342.633,2346.498,2384.42,2793.8047,2906.7422,3272.545
101.0231283,4511.465,4603.1836,677.792,5342.047,682.48535,833.65234,4312.7734,4120.6914,4335.2734
101.0231709,3714.3047,4064.045,1026.3428,4054.7422,936.562,1104.9746,4042.9004,4587.9023,4324.3477
101.0231936,12038.219,12436.461,8812.914,12020.828,9572.4375,9369.133,7009.3164,7031,6744.5703
101.0232103,11028.508,11611.25,2390.3027,12132,2422.8574,2579.0762,8680.266,8606.359,9361.672
101.0232327,6632.664,7223.2188,1329.5781,7185.465,1491.1943,1468.4238,6259.6484,5770.996,6063.082
101.0232432,5411.582,5443.4062,898.2612,5418.086,867.4302,929.37646,4996.0312,4674.168,4728.1484
101.0232564,4185.6562,4276.9375,1442.5732,4134.504,1395.668,1468.6514,4367.961,4253.043,4450.2227
101.0232651,5564,5538.699,959.56445,6081.883,921,935.43066,5422.5547,5439.074,5334.8086
101.0232774,5509.711,6253.5938,962.25586,6142.785,1028.8184,986.6846,6009.617,6201.5195,6552.625
101.0232832,6425.172,7152.09,679.91846,6913.7344,851.126,767,6563.5156,6490.9727,6317.2188
101.0232876,3563.8652,3729.3438,857.9326,4280.789,1055.6475,809,4269.5938,3972.4492,3939.1836
101.0233091,8452.5625,9251.367,1288.5879,9271.008,1306.2549,1505.6445,8218.867,8279.719,8897.898
101.0233179,4474.496,5509.41,3684.6465,5118.5312,4068.8809,4128.4023,4716.6523,4894.254,4975.7695
101.0233185,10462.617,10733.781,1890,11420.094,1914.7695,2187.164,8013.543,8827.047,8851.461
101.0233431,19871.14,20839.219,1853.7979,19555.875,2323.6074,1689.833,16378.727,17308.188,17509.234
101.0233634,4240.6523,4424.75,806.45605,4461.699,867.4302,929.37646,4842.0312,4734.7305,5307.2344
101.0235101,4476.9414,4983.0547,880.708,4900.629,768.81885,849.36914,5060.7617,4121.086,4684.9414
101.9264533,9085.945,9256.867,10375.07,9745.156,10705.797,12472.078,16416.531,17248.39,18267.953
101.9269744,10627.398,8870.242,9961.242,7512.0938,10164.57,10143.641,22029.219,21288.703,22834.406
103.0025632,3226.4707,3897.8984,1970.1699,3386.082,2072.6777,2511.0273,6133.0625,5917.2812,6796.746
103.0390702,8392.211,9169.453,860.9487,8298.406,1230.5029,915.10596,8078.0977,8512.594,8179.0625
103.0536908,4184.824,4855.801,1486.5391,4972.3633,1473.9395,1257.5342,4766.535,5322.3594,5428.293
104.034163,16045.758,18625.422,19088.719,16610.828,17627.938,18846.812,10373.984,9777.516,12530.164
107.0125831,9135.242,9550,3203.0332,9745.305,3688.4219,3311.5742,3483.7227,4247.957,4522.0117
108.0195822,5648.078,5227.621,2124.002,6260.582,2170.5254,2342.5742,8482.953,8182.047,8123.074
108.0202657,3328.2383,2956.6875,2382.166,3277.3633,2665.9375,2577.123,6518.207,6576.746,6784.5703
108.0203269,4345.672,4497.082,2010.2012,8633.844,1878,1886.4131,1459,1326.0518,1518.6631
108.0204145,1684,1255.0693,929.49023,1360.7246,1166.374,1411.7852,4071.6953,3803.7793,3911.33
108.0204231,2140.1172,2080.4492,2087.0059,2109.8262,2259.4785,2543.5117,12368.242,11321.789,11906.656
108.0204544,12371.633,10716.344,8774.102,11163.82,8940.4375,8219.984,13303.578,9269.18,9242.211
108.020463,3309.4531,3386.3418,6911.7305,3539.6328,6950.375,6859.2383,6306.301,6238.043,6636.375
108.0204936,18086.938,18922.172,9877.047,18095.89,10715.352,10634.172,2467.9941,2758.045,3244.7012
108.0205046,1645.79,1390.3955,20465.531,1452.2031,20305.578,20411.953,2439.162,2643.164,2401.6348
108.0205065,2570,2788.2246,34181.22,2480.3145,32501.89,31246.812,3966.8867,3212,3513.4062
108.0205365,1211,1211.9316,2073.0645,1370,1727.7402,1483.8457,8614.164,7654.7773,7880.7266
108.9009076,58060.97,69610.375,28696.812,63644.25,27586.36,27653.14,10801.836,10675.547,10828.492
109.02791,8813.492,8638.773,12275.6875,9732.656,7587.828,7645.7344,12862.727,11942.758,11149.4375
109.0280291,5263.457,7128.168,7280.34,6446.2773,4460.074,4450.496,8735.18,7959.0195,8279.992
109.0280296,7315.746,6022.7812,19409.922,6621.8477,8921.359,8939.867,15439.789,16005.43,14411.3125
109.028114,3621.5234,3353.998,6490.3984,3208.9219,6298.8438,5867.039,4510.746,4210.168,4204.1094
109.0281137,809.5254,864.35205,13791.531,985.22705,14908.625,15232,11295.422,11661.914,12434.4375
109.0281755,16432.172,16988.625,5559.1094,16670.875,5109.1016,4755.8438,13056.445,13667.102,12542.3125
109.0282126,3507.7168,3884.7988,35405.312,4322.125,36379.406,35473.812,5405.0938,4448.5156,5063.0273
